Personal Pronouns,Demonstrative Pronouns,quidam,Third-Person Pronouns,iste,alius,ipse,idem,priusquam,antequam,quominus,dum,quin,ut,Conditionals,Interrogative Sentences,Superlatives,atque + Consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Text Name,Sentences
0.0138,0.00915,0.00004,0.00091,0.00036,0.00036,0.00019,0.00036,0.00006,0,0,0.00023,0.00045,0.00284,0.00223,0.00543,0.00006,0.00004,0.25034,24.85957,0.00025,0.00025,0.01144,0,48.07959,"47,118","9,332",Plautus Amphitruo,980
0.01431,0.00793,0,0.00093,0.00062,0.00049,0.00044,0.00034,0.0001,0,0,0.00029,0.0006,0.00257,0.00306,0.0056,0.00018,0.00008,0.22661,21.48205,0.00036,0.00039,0.00954,0.0001,43.14206,"38,569","7,629",Plautus Asinaria,894
0.01617,0.00896,0,0.00068,0.0004,0.00028,0.00012,0.00018,0.00012,0,0,0.00012,0.00055,0.00262,0.00256,0.00523,0.00015,0.00009,0.23211,24.54268,0.00018,0.00025,0.01105,0.00009,43.94452,"32,475","6,537",Plautus Aulularia,739
0.01368,0.01016,0.00002,0.00071,0.00029,0.00027,0.00021,0.00025,0.0001,0,0,0.00033,0.00031,0.00292,0.002,0.00644,0.00013,0.00013,0.20882,23.68919,0.00017,0.00042,0.00995,0.00023,41.08655,"47,948","9,443",Plautus Bacchides,1167
0.01527,0.01055,0,0.00087,0.00058,0.00048,0.00031,0.00019,0.00005,0,0.00002,0.00019,0.00036,0.00253,0.00248,0.00409,0.00017,0.00014,0.26708,23.42241,0.00034,0.00031,0.0125,0,51.20838,"41,530","8,297",Plautus Captivi,811
0.01533,0.00945,0.00009,0.00088,0.00046,0.0002,0.00011,0.00017,0.00003,0,0,0.00043,0.00085,0.0025,0.00216,0.00637,0.0002,0.00023,0.16595,22.28082,0.00011,0.00026,0.01101,0.00009,38.58397,"35,150","7,208",Plautus Casina,911
0.01498,0.01328,0.00045,0.00113,0.0004,0.00061,0.00016,0.00032,0,0,0,0.00008,0.00032,0.00211,0.00239,0.00397,0.00016,0.00008,0.21008,22.9058,0.0002,0.00016,0.01138,0.00008,43.3193,"24,692","5,047",Plautus Cistellaria,570
0.01738,0.00865,0,0.00077,0.00077,0.00028,0.00035,0.00017,0.0001,0,0,0.00059,0.00052,0.00234,0.00248,0.00667,0.00028,0.00021,0.20135,21.03497,0.00024,0.00014,0.01015,0.0001,36.88031,"28,656","5,717",Plautus Curculio,777
0.01473,0.01069,0,0.00082,0.00039,0.00053,0.00043,0.0001,0.00016,0,0,0.00033,0.00039,0.0022,0.00204,0.00714,0.00007,0.0001,0.20474,24.18543,0.0002,0.00023,0.00964,0,37.81965,"30,407","5,987",Plautus Epidicus,804
0.01633,0.00924,0.00011,0.00078,0.00025,0.00031,0.00025,0.00031,0.00004,0,0,0.00036,0.00058,0.00244,0.00195,0.00716,0.00045,0.00018,0.20782,21.07907,0.00016,0.00013,0.01047,0.00009,39.71137,"44,715","8,946",Plautus Menaechmi,1126
0.01374,0.00925,0.00007,0.00082,0.0004,0.00045,0.0001,0.00032,0.0001,0,0,0.00035,0.00102,0.00257,0.00239,0.00696,0.00017,0.00007,0.18665,20.04469,0.00025,0.00012,0.00968,0.00002,37.02493,"40,098","7,995",Plautus Mercator,1083
0.01378,0.01076,0.00007,0.00108,0.00052,0.00045,0.00025,0.00038,0.00012,0,0,0.00048,0.00057,0.00225,0.00262,0.00528,0.00015,0.00012,0.19643,22.21091,0.00028,0.0001,0.01173,0.0001,43.48841,"60,014","11,855",Plautus Miles Gloriosus,1380
0.01426,0.00904,0.00002,0.0008,0.00096,0.00049,0.00009,0.00013,0.00009,0,0,0.0002,0.00058,0.00216,0.00194,0.00755,0.00022,0.00004,0.14316,22.08434,0.0002,0.00011,0.0094,0.00007,34.82933,"44,895","8,937",Plautus Mostellaria,1289
0.0167,0.00967,0.00003,0.00043,0.00026,0.00023,0.00026,0.00017,0.00003,0,0,0.00031,0.00074,0.00285,0.00233,0.00677,0.00003,0.00017,0.17132,20.53704,0.00006,0.00011,0.01121,0.00009,34.39237,"35,149","7,187",Plautus Persa,1022
0.01344,0.00964,0.00002,0.00091,0.00031,0.00031,0.00026,0.00015,0.00013,0,0,0.00026,0.00031,0.00216,0.00232,0.00542,0.00016,0.00015,0.17539,21.32751,0.00018,0.00009,0.01021,0.00015,39.70123,"54,748","10,710",Plautus Poenulus,1379
0.0155,0.00978,0.00002,0.00055,0.00038,0.00055,0.00027,0.00013,0.00011,0,0,0.00034,0.00047,0.00289,0.00262,0.00665,0.00019,0.00025,0.19048,21.33193,0.00013,0.00011,0.01096,0.00006,41.54144,"52,633","10,464",Plautus Pseudolus,1267
0.01381,0.00952,0.00002,0.00066,0.00063,0.00029,0.00013,0.00013,0.00007,0,0,0.00056,0.0003,0.0024,0.0026,0.00608,0.00029,0.00005,0.1938,24.4549,0.0002,0.00022,0.0101,0.00013,40.85495,"55,767","11,061",Plautus Rudens,1365
0.01391,0.00854,0,0.00072,0.00016,0.00052,0.00029,0.0002,0.00007,0,0.00003,0.00029,0.00043,0.00229,0.00193,0.00501,0.00016,0.00007,0.18149,22.83333,0.00023,0.00003,0.01021,0.00016,42.96062,"30,545","5,926",Plautus Stichus,711
0.01332,0.01062,0.00006,0.00076,0.00047,0.00055,0.00038,0.00015,0.00008,0,0,0.00027,0.00051,0.00228,0.00298,0.00516,0.00017,0.00023,0.26575,21.171,0.00011,0.00011,0.01125,0.00013,48.84298,"47,280","9,337",Plautus Trinummus,968
0.01367,0.00861,0,0.00087,0.00074,0.00054,0.00015,0.00033,0.00013,0,0,0.00069,0.00026,0.00215,0.00208,0.00631,0.0001,0.00008,0.24701,21.22747,0.00015,0.00028,0.01044,0.00005,42.90759,"39,003","7,825",Plautus Truculentus,909
0.00309,0.0024,0,0.00043,0.00046,0.00036,0.00059,0.0001,0,0.00003,0,0.00007,0.00007,0.00069,0.00049,0.00309,0,0,0.18605,36.57627,0.00026,0.00033,0.01107,0.00026,86.73219,"30,443","5,474",Seneca Agamemnon,351
0.00312,0.00276,0.00002,0.00034,0.00024,0.00014,0.0007,0.00007,0.00002,0.00005,0,0.00017,0.00005,0.00058,0.0006,0.00365,0,0.00007,0.22876,38.35955,0.0005,0.00022,0.01235,0.00029,91.44615,"41,608","7,520",Seneca Hercules Furens,455
0.00474,0.00362,0.00002,0.00026,0.00026,0.00018,0.00082,0.00005,0,0.00003,0,0.00035,0.00005,0.00067,0.00104,0.00418,0.00002,0.00007,0.24454,30.97143,0.00076,0.00031,0.01081,0.00043,85.50352,"60,793","11,191",Seneca Hercules Oetaeus,711
0.0034,0.00282,0,0.00023,0.00045,0.0001,0.00071,0.00003,0.00003,0,0,0.00026,0.00006,0.00075,0.00113,0.00256,0,0.00003,0.28159,31.06061,0.00055,0.00029,0.01144,0.00013,87.16949,"30,858","5,574",Seneca Medea,354
0.00387,0.0022,0,0.00052,0.00017,0.00014,0.00059,0.00031,0,0.00003,0,0.00007,0.00003,0.00052,0.00035,0.00195,0,0.00017,0.3254,35.4537,0.00017,0.00042,0.01132,0.0001,92.87702,"28,699","5,118",Seneca Octavia,309
0.0027,0.00195,0,0.00031,0.00028,0.00012,0.00099,0.00006,0,0,0,0.00031,0.00009,0.00053,0.00043,0.00282,0.00003,0.00003,0.23596,30.47368,0.0004,0.00009,0.01181,0.00015,90.91268,"32,274","5,794",Seneca Oedipus,355
0.0034,0.00246,0.00003,0.00056,0.00035,0.00023,0.00066,0.00013,0,0,0,0.00023,0.00003,0.00051,0.00066,0.00281,0.00003,0.00005,0.2263,32.89,0.00051,0.00028,0.01179,0.00043,90.07078,"39,451","7,082",Seneca Phaedra,438
0.00498,0.00462,0.00005,0.0006,0.00051,0.00023,0.00074,0,0,0,0,0.00032,0.00009,0.00115,0.00129,0.00466,0.00005,0.00009,0.34375,30.04878,0.00018,0.00014,0.01242,0,95.44493,"21,666","4,087",Seneca Phoenissae,227
0.00248,0.0034,0.00003,0.00059,0.00021,0.00012,0.00083,0.00006,0,0.00003,0,0.00024,0.00009,0.00044,0.00092,0.00322,0.00009,0.00009,0.232,32.92,0.00065,0.00035,0.01225,0.00015,94.43296,"33,807","6,182",Seneca Thyestes,358
0.00295,0.00382,0.00003,0.00033,0.00024,0.00024,0.00041,0.00014,0,0,0,0.0003,0,0.00062,0.00076,0.00358,0.00003,0,0.27857,32.51923,0.00038,0.00035,0.01243,0.00038,90.26161,"36,917","6,717",Seneca Troades,409
0.01077,0.01244,0.00005,0.00068,0.00043,0.00036,0.00088,0.00023,0.00002,0,0,0.00034,0.0002,0.00173,0.00221,0.00721,0.00029,0,0.15415,25.08434,0.00032,0.00005,0.00908,0.00038,40.31426,"44,386","9,076",Terence Adelphi,1101
0.01291,0.01261,0.00012,0.00102,0.00022,0.00055,0.00075,0.00015,0.00007,0,0.00002,0.00045,0.00027,0.00302,0.0025,0.00916,0.00017,0.00002,0.1722,26.49412,0.00035,0.00022,0.01004,0.00042,34.20751,"40,057","8,177",Terence Andria,1171
0.01319,0.01196,0.00025,0.00088,0.00075,0.00072,0.00077,0.00025,0.00002,0,0,0.00048,0.00025,0.00233,0.00195,0.01051,0.00014,0,0.17237,25.19251,0.00032,0.00023,0.01013,0.00023,32.98804,"44,138","8,950",Terence Eunuchus,1338
0.0139,0.01166,0.00014,0.00091,0.0004,0.00063,0.00061,0.0004,0,0,0,0.00058,0.00035,0.00298,0.00235,0.00794,0.00014,0.00005,0.22392,23.19742,0.00033,0.00009,0.01052,0.00005,38.21174,"42,950","8,801",Terence Heautontimorumenos,1124
0.01292,0.01215,0.00003,0.00126,0.00019,0.00074,0.0008,0.00055,0.00011,0.00005,0,0.00033,0.0003,0.0034,0.00214,0.00507,0.00011,0.00003,0.29389,27.2,0.00027,0.00011,0.01185,0.00019,51.2177,"36,467","7,380",Terence Hecyra,712
0.01218,0.01175,0.00014,0.00083,0.00031,0.00059,0.00073,0.00035,0.00012,0,0,0.00043,0.00033,0.00298,0.00244,0.0088,0.00038,0.00005,0.2039,24.38119,0.00045,0.00014,0.00955,0.00021,36.68083,"42,293","8,493",Terence Phormio,1153
